95.7,1.66997
96,1.59015
96.3,1.51339
96.6,1.43961
96.9,1.36875
97.2,1.30072
97.5,1.23546
97.8,1.1729
98.1,1.11295
98.4,1.05554
98.7,1.0006
99,0.948051
99.3,0.897823
99.6,0.84984
99.9,0.804029
100.2,0.760318
100.5,0.718635
100.8,0.678909
101.1,0.64107
101.4,0.60505
101.7,0.57078
102,0.538196
102.3,0.50723
102.6,0.477821
102.9,0.449904
103.2,0.423421
103.5,0.39831
103.8,0.374514
104.1,0.351976
104.4,0.330643
104.7,0.31046
105,0.291376
105.3,0.273341
105.6,0.256306
105.9,0.240224
106.2,0.225051
106.5,0.210742
106.8,0.197255
107.1,0.18455
107.4,0.172588
107.7,0.16133
108,0.150741
108.3,0.140786
108.6,0.131432
108.9,0.122647
109.2,0.114401
109.5,0.106664
109.8,0.0994084
110.1,0.0926076
110.4,0.0862361
110.7,0.0802699
111,0.0746856
111.3,0.0694615
111.6,0.0645765
111.9,0.0600109
112.2,0.0557456
112.5,0.0517628
112.8,0.0480455
113.1,0.0445776
113.4,0.0413437
113.7,0.0383295
114,0.0355214
114.3,0.0329063
114.6,0.030472
114.9,0.0282071
115.2,0.0261007
115.5,0.0241426
115.8,0.022323
116.1,0.0206329
116.4,0.0190637
116.7,0.0176075
117,0.0162565
117.3,0.0150038
117.6,0.0138427
117.9,0.0127669
118.2,0.0117705
118.5,0.0108481
118.8,0.00999444
119.1,0.00920479
119.4,0.0084746
119.7,0.00779966
120,0.00717604
120.3,0.00660005
120.6,0.00606826
120.9,0.00557745
121.2,0.00512465
121.5,0.00470706
121.8,0.00432208
122.1,0.00396731
122.4,0.00364049
122.7,0.00333952
123,0.00306246
123.3,0.0028075
123.6,0.00257296
123.9,0.00235728
124.2,0.00215901
124.5,0.00197682
124.8,0.00180945
125.1,0.00165574
125.4,0.00151464
125.7,0.00138515
126,0.00126636
126.3,0.00115741
126.6,0.00105753
126.9,0.000965991
127.2,0.000882119
127.5,0.0008053
127.8,0.000734962
128.1,0.000670578
128.4,0.000611664
128.7,0.000557771
129,0.000508487
129.3,0.00046343
129.6,0.000422251
129.9,0.000384628
130.2,0.000350263
130.5,0.000318884
130.8,0.000290239
131.1,0.000264098
131.4,0.00024025
131.7,0.000218498
132,0.000198665
132.3,0.000180587
132.6,0.000164112
132.9,0.000149102
133.2,0.000135432
133.5,0.000122985
133.8,0.000111654
134.1,0.000101343
134.4,9.19618e-05
134.7,8.3429e-05
135,7.56699e-05
135.3,6.86162e-05
135.6,6.22055e-05
135.9,5.63806e-05
136.2,5.10893e-05
136.5,4.6284e-05
136.8,4.19212e-05
137.1,3.79611e-05
137.4,3.43673e-05
137.7,3.11069e-05
138,2.81496e-05
138.3,2.54678e-05
138.6,2.30365e-05
138.9,2.08329e-05
139.2,1.8836e-05
139.5,1.70269e-05
139.8,1.53883e-05
140.1,1.39045e-05
140.4,1.25611e-05
140.7,1.13452e-05
141,1.02449e-05
141.3,9.24947e-06
141.6,8.34906e-06
141.9,7.53479e-06
142.2,6.79858e-06
142.5,6.13311e-06
142.8,5.53169e-06
143.1,4.98828e-06
143.4,4.49739e-06
143.7,4.05403e-06
144,3.65369e-06
144.3,3.29226e-06
144.6,2.96603e-06
144.9,2.67164e-06
145.2,2.40602e-06
145.5,2.16642e-06
145.8,1.95032e-06
146.1,1.75547e-06
146.4,1.5798e-06
146.7,1.42146e-06
147,1.27876e-06
147.3,1.15019e-06
147.6,1.03437e-06
147.9,9.30053e-07
148.2,8.36113e-07
148.5,7.51536e-07
148.8,6.754e-07
149.1,6.06877e-07
149.4,5.45217e-07
149.7,4.89741e-07
150,4.39839e-07
150.3,3.94958e-07
150.6,3.546e-07
150.9,3.18315e-07
